dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,gamma,5,mild,0.10454982198650009,12.999804702538594,0.0028552372142161193,0.5689655172413792,0.3103448275862069,91.0,90.0,58.0
Chennu,gamma,5,moderate,0.0923606294847946,13.490318417602351,0.0022865646791239876,0.33333333333333326,0.06896551724137931,91.0,90.0,58.0
Chennu,gamma,5,recovery,0.10754605539090173,13.42072500171123,0.0028736935717419494,0.660919540229885,0.3793103448275862,91.0,90.0,58.0
Chennu,gamma,6,baseline,0.08110558730969851,13.804947679138209,0.0019093236784716978,0.8275862068965517,0.5517241379310345,91.0,90.0,58.0
Chennu,gamma,6,mild,0.08450003512773337,12.987536782538912,0.0019142340577521007,0.82183908045977,0.5344827586206896,91.0,90.0,58.0
Chennu,gamma,6,moderate,0.0819348336163094,12.413207679026847,0.0017954275891378063,0.6666666666666665,0.2413793103448276,91.0,90.0,58.0
Chennu,gamma,6,recovery,0.08814055985209049,16.142419453170145,0.002055995729984407,0.6896551724137929,0.1206896551724138,91.0,90.0,58.0
Chennu,gamma,7,baseline,0.1175521356312032,15.585593380725667,0.0033890719584677848,0.8275862068965516,0.5862068965517241,91.0,90.0,58.0
Chennu,gamma,7,mild,0.08064224312849792,13.503589332304784,0.0019403603336200406,0.09770114942528735,0.0,91.0,90.0,58.0
Chennu,gamma,7,moderate,0.09299299611494302,12.024004005795666,0.0026012265851931143,0.1896551724137931,0.0,91.0,90.0,58.0
Chennu,gamma,7,recovery,0.10673303740699058,15.072642849456432,0.0031879822017022936,0.574712643678161,0.22413793103448276,91.0,90.0,58.0
Chennu,gamma,8,baseline,0.1459004502439791,17.407824404429515,0.004893019303062654,0.8275862068965517,0.603448275862069,91.0,90.0,58.0
Chennu,gamma,8,mild,0.08164487081533066,14.700693583260268,0.0019398534164517744,0.11494252873563217,0.0,91.0,90.0,58.0
Chennu,gamma,8,moderate,0.07805027288023472,14.699734151714367,0.001714913569808591,0.09770114942528733,0.0,91.0,90.0,58.0
Chennu,gamma,8,recovery,0.1263530531686755,16.234334240507355,0.004023673061868877,0.5402298850574713,0.25862068965517243,91.0,90.0,58.0
Chennu,gamma,9,baseline,0.10145522061652335,14.887227732107275,0.0028286338732031076,0.8275862068965517,0.603448275862069,91.0,90.0,58.0
Chennu,gamma,9,mild,0.10160188962329662,15.344151708801284,0.002949468416237438,0.7586206896551724,0.4827586206896552,91.0,90.0,58.0
Chennu,gamma,9,moderate,0.08257554994251506,15.247266672258075,0.0018799310241436114,0.4195402298850574,0.06896551724137931,91.0,90.0,58.0
Chennu,gamma,9,recovery,0.08516733149209993,16.158828032238194,0.0022118964382969127,0.45977011494252873,0.1724137931034483,91.0,90.0,58.0
DS005620,alpha,1010,awake,0.12192058361809291,9.197231691543044,0.003971414088308453,0.8275862068965518,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1010,sed,0.12769884163391484,8.57688818588858,0.0068581879004977935,0.6819923371647509,0.3218390804597701,62.0,90.0,58.0
DS005620,alpha,1010,sed2,0.1138369282173114,7.908754206459688,0.003273016940748708,0.7134502923976608,0.3684210526315789,62.0,60.0,38.0
DS005620,alpha,1016,awake,0.1055503710041388,8.925715607062466,0.0030114726217940193,0.8275862068965517,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1016,sed,0.10867473951018657,8.501227603704073,0.0029885151438043475,0.9099616858237547,0.7413793103448275,62.0,90.0,58.0
DS005620,alpha,1016,sed2,0.11141315715876378,7.933813227351634,0.003094395990419616,0.9035087719298245,0.7368421052631579,62.0,60.0,38.0
DS005620,alpha,1017,awake,0.13501773645974452,8.470964366549056,0.0038544135101837907,0.8275862068965516,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1017,sed,0.10233397568613922,8.777150329243375,0.0028330884956868758,0.7816091954022988,0.5603448275862069,62.0,90.0,58.0
