dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,5,14,moderate,1,residual_gcc_after_spectral_all,0.9593933377193888
Chennu,alpha,6,18,baseline,0,residual_gcc_after_spectral_all,0.38295418414576526
Chennu,alpha,7,18,moderate,1,residual_gcc_after_spectral_all,0.5928525500580674
Chennu,alpha,8,2,baseline,0,residual_gcc_after_spectral_all,0.36986109481357343
Chennu,alpha,9,2,moderate,1,residual_gcc_after_spectral_all,0.1000479601510983
Chennu,alpha,10,20,baseline,0,residual_gcc_after_spectral_all,0.36618805073456634
Chennu,alpha,11,20,moderate,1,residual_gcc_after_spectral_all,0.9306663322198467
Chennu,alpha,12,22,baseline,0,residual_gcc_after_spectral_all,0.3448557008127815
Chennu,alpha,13,22,moderate,1,residual_gcc_after_spectral_all,0.06643529181594442
Chennu,alpha,14,23,baseline,0,residual_gcc_after_spectral_all,0.3813441569443621
Chennu,alpha,15,23,moderate,1,residual_gcc_after_spectral_all,0.9950675003545008
Chennu,alpha,16,24,baseline,0,residual_gcc_after_spectral_all,0.40825067666895365
Chennu,alpha,17,24,moderate,1,residual_gcc_after_spectral_all,0.8611248865026008
Chennu,alpha,18,25,baseline,0,residual_gcc_after_spectral_all,0.37966739136179206
Chennu,alpha,19,25,moderate,1,residual_gcc_after_spectral_all,3.912299294975296e-06
Chennu,alpha,20,26,baseline,0,residual_gcc_after_spectral_all,0.3918769906417757
Chennu,alpha,21,26,moderate,1,residual_gcc_after_spectral_all,0.6736183906758156
Chennu,alpha,22,27,baseline,0,residual_gcc_after_spectral_all,0.40652287135829257
Chennu,alpha,23,27,moderate,1,residual_gcc_after_spectral_all,0.9075293986733625
Chennu,alpha,24,28,baseline,0,residual_gcc_after_spectral_all,0.393936745841778
Chennu,alpha,25,28,moderate,1,residual_gcc_after_spectral_all,0.6821208930807319
Chennu,alpha,26,29,baseline,0,residual_gcc_after_spectral_all,0.3717786574668843
Chennu,alpha,27,29,moderate,1,residual_gcc_after_spectral_all,0.21154004891836872
Chennu,alpha,28,3,baseline,0,residual_gcc_after_spectral_all,0.3894101864975968
Chennu,alpha,29,3,moderate,1,residual_gcc_after_spectral_all,0.9737348268790176
Chennu,alpha,30,5,baseline,0,residual_gcc_after_spectral_all,0.3782615093551959
Chennu,alpha,31,5,moderate,1,residual_gcc_after_spectral_all,0.8800234231609101
Chennu,alpha,32,6,baseline,0,residual_gcc_after_spectral_all,0.39584548160054467
Chennu,alpha,33,6,moderate,1,residual_gcc_after_spectral_all,0.8215855584495907
Chennu,alpha,34,7,baseline,0,residual_gcc_after_spectral_all,0.3728918310090256
Chennu,alpha,35,7,moderate,1,residual_gcc_after_spectral_all,0.011872164824710466
Chennu,alpha,36,8,baseline,0,residual_gcc_after_spectral_all,0.3897263260348598
Chennu,alpha,37,8,moderate,1,residual_gcc_after_spectral_all,0.921969640950827
Chennu,alpha,38,9,baseline,0,residual_gcc_after_spectral_all,0.3969216440225058
Chennu,alpha,39,9,moderate,1,residual_gcc_after_spectral_all,0.2720641379617779
DS005620,alpha,80,1010,awake,0,spectral_bandpower,0.15106167509703278
DS005620,alpha,81,1010,sed,1,spectral_bandpower,0.4724702160414966
DS005620,alpha,82,1010,sed2,1,spectral_bandpower,0.7831368539598135
DS005620,alpha,83,1016,awake,0,spectral_bandpower,0.15926416152053294
DS005620,alpha,84,1016,sed,1,spectral_bandpower,0.7548326000808716
DS005620,alpha,85,1016,sed2,1,spectral_bandpower,0.9913596816444397
DS005620,alpha,86,1017,awake,0,spectral_bandpower,0.15831806601384527
DS005620,alpha,87,1017,sed,1,spectral_bandpower,0.894873398333147
DS005620,alpha,88,1017,sed2,1,spectral_bandpower,0.9146738361395533
DS005620,alpha,89,1022,awake,0,spectral_bandpower,0.14549322305158646
DS005620,alpha,90,1022,sed,1,spectral_bandpower,0.3066203511014392
DS005620,alpha,91,1022,sed2,1,spectral_bandpower,0.19458945242489745
DS005620,alpha,92,1024,awake,0,spectral_bandpower,0.1590837800240732
DS005620,alpha,93,1024,sed,1,spectral_bandpower,0.9396246405014437
DS005620,alpha,94,1024,sed2,1,spectral_bandpower,0.9527313726630884
DS005620,alpha,95,1033,awake,0,spectral_bandpower,0.14683421823282175
DS005620,alpha,96,1033,sed,1,spectral_bandpower,0.3156846348748249
DS005620,alpha,97,1033,sed2,1,spectral_bandpower,0.29281461336133463
DS005620,alpha,98,1036,awake,0,spectral_bandpower,0.15824776996026202
DS005620,alpha,99,1036,sed,1,spectral_bandpower,0.9731520311543383
DS005620,alpha,100,1036,sed2,1,spectral_bandpower,0.9954168657520924
DS005620,alpha,101,1037,awake,0,spectral_bandpower,0.15418939545411736
DS005620,alpha,102,1045,awake,0,spectral_bandpower,0.15993884054702473
DS005620,alpha,103,1045,sed,1,spectral_bandpower,0.9571524322274988
DS005620,alpha,104,1045,sed2,1,spectral_bandpower,0.9208050949692206
DS005620,alpha,105,1046,awake,0,spectral_bandpower,0.1466325704844103
DS005620,alpha,106,1046,sed,1,spectral_bandpower,0.4077639765244145
DS005620,alpha,107,1046,sed2,1,spectral_bandpower,0.37182905672683925
DS005620,alpha,108,1054,awake,0,spectral_bandpower,0.15974059023106973
DS005620,alpha,109,1054,sed,1,spectral_bandpower,0.9909894445745763
DS005620,alpha,110,1054,sed2,1,spectral_bandpower,0.9960714247780399
DS005620,alpha,111,1055,awake,0,spectral_bandpower,0.1598291015456008
DS005620,alpha,112,1055,sed,1,spectral_bandpower,0.810037729444518
DS005620,alpha,113,1055,sed2,1,spectral_bandpower,0.8906640701013834
DS005620,alpha,114,1057,awake,0,spectral_bandpower,0.15928926631666807
DS005620,alpha,115,1057,sed,1,spectral_bandpower,0.7957896550915751
DS005620,alpha,116,1057,sed2,1,spectral_bandpower,0.9414945046862535
DS005620,alpha,117,1060,awake,0,spectral_bandpower,0.13562216989326317
DS005620,alpha,118,1060,sed,1,spectral_bandpower,0.9999993612334747
DS005620,alpha,119,1060,sed2,1,spectral_bandpower,0.9999995756221389
DS005620,alpha,120,1061,awake,0,spectral_bandpower,0.16099283143453988
DS005620,alpha,121,1061,sed,1,spectral_bandpower,0.9704255202554234
DS005620,alpha,122,1061,sed2,1,spectral_bandpower,0.9856978556846991
DS005620,alpha,123,1062,awake,0,spectral_bandpower,0.1610694615217222
DS005620,alpha,124,1062,sed,1,spectral_bandpower,0.9246609147942887
DS005620,alpha,125,1062,sed2,1,spectral_bandpower,0.9505588643862599
DS005620,alpha,126,1064,awake,0,spectral_bandpower,0.15696870433846347
DS005620,alpha,127,1064,sed,1,spectral_bandpower,0.9962054223350918
DS005620,alpha,128,1064,sed2,1,spectral_bandpower,0.9972205471775674
DS005620,alpha,129,1067,awake,0,spectral_bandpower,0.11876469242474853
DS005620,alpha,130,1067,sed,1,spectral_bandpower,0.013299241265668536
DS005620,alpha,131,1067,sed2,1,spectral_bandpower,0.22815541343835502
DS005620,alpha,132,1068,awake,0,spectral_bandpower,0.15863122806669086
DS005620,alpha,133,1068,sed,1,spectral_bandpower,0.9977914118697442
