dataset,band,row_index,subject,condition,y,model,score
Chennu,alpha,15,10,moderate,1,residual_gcc_after_spectral_all,0.8106484898006355
Chennu,alpha,16,13,baseline,0,residual_gcc_after_spectral_all,0.41459506697556764
Chennu,alpha,17,13,moderate,1,residual_gcc_after_spectral_all,0.6367519743316121
Chennu,alpha,18,14,baseline,0,residual_gcc_after_spectral_all,0.4300003320385998
Chennu,alpha,19,14,moderate,1,residual_gcc_after_spectral_all,0.8645502114523325
Chennu,alpha,20,18,baseline,0,residual_gcc_after_spectral_all,0.39964742007100196
Chennu,alpha,21,18,moderate,1,residual_gcc_after_spectral_all,0.88583526129569
Chennu,alpha,22,20,baseline,0,residual_gcc_after_spectral_all,0.3594188127891716
Chennu,alpha,23,20,moderate,1,residual_gcc_after_spectral_all,0.995154581934454
Chennu,alpha,24,22,baseline,0,residual_gcc_after_spectral_all,0.3981787163546175
Chennu,alpha,25,22,moderate,1,residual_gcc_after_spectral_all,0.33449222706185316
Chennu,alpha,26,23,baseline,0,residual_gcc_after_spectral_all,0.4101326133231068
Chennu,alpha,27,23,moderate,1,residual_gcc_after_spectral_all,0.7394662304368755
Chennu,alpha,28,24,baseline,0,residual_gcc_after_spectral_all,0.4055005829940162
Chennu,alpha,29,24,moderate,1,residual_gcc_after_spectral_all,0.2679442249152464
Chennu,alpha,30,25,baseline,0,residual_gcc_after_spectral_all,0.41215733961944356
Chennu,alpha,31,25,moderate,1,residual_gcc_after_spectral_all,0.16381144397879002
Chennu,alpha,32,26,baseline,0,residual_gcc_after_spectral_all,0.42899127216029814
Chennu,alpha,33,26,moderate,1,residual_gcc_after_spectral_all,0.9164199084687366
Chennu,alpha,34,27,baseline,0,residual_gcc_after_spectral_all,0.4122195858012612
Chennu,alpha,35,27,moderate,1,residual_gcc_after_spectral_all,0.6008125191063401
Chennu,alpha,36,28,baseline,0,residual_gcc_after_spectral_all,0.412358918860895
Chennu,alpha,37,28,moderate,1,residual_gcc_after_spectral_all,0.5174789160934226
Chennu,alpha,38,29,baseline,0,residual_gcc_after_spectral_all,0.39960706893476233
Chennu,alpha,39,29,moderate,1,residual_gcc_after_spectral_all,0.25757924295784695
DS005620,alpha,40,1010,awake,0,spectral_bandpower,0.15106167509703278
DS005620,alpha,41,1010,sed,1,spectral_bandpower,0.4724702160414966
DS005620,alpha,42,1010,sed2,1,spectral_bandpower,0.7831368539598135
DS005620,alpha,43,1016,awake,0,spectral_bandpower,0.15926416152053294
DS005620,alpha,44,1016,sed,1,spectral_bandpower,0.7548326000808716
DS005620,alpha,45,1016,sed2,1,spectral_bandpower,0.9913596816444397
DS005620,alpha,46,1017,awake,0,spectral_bandpower,0.15831806601384527
DS005620,alpha,47,1017,sed,1,spectral_bandpower,0.894873398333147
