dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,alpha,6,moderate,0.40039611475246367,9.726070658803067,0.027166762669411013,0.7241379310344828,0.3103448275862069,20.0,90.0,58.0
Chennu,alpha,6,recovery,0.37475204241984295,8.51171636736067,0.017884211168762258,0.8045977011494251,0.5517241379310345,20.0,90.0,58.0
Chennu,alpha,7,baseline,0.38001817885703343,12.302522811022262,0.026846120084942176,0.8275862068965516,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,7,mild,0.37314605668760376,9.83466774402945,0.02687870726196888,0.7413793103448276,0.3793103448275862,20.0,90.0,58.0
Chennu,alpha,7,moderate,0.3023745548374791,10.212763278383052,0.017260259193033804,0.41379310344827586,0.034482758620689655,20.0,90.0,58.0
Chennu,alpha,7,recovery,0.5520588863953402,7.036240584080781,0.028967737247061268,0.5862068965517241,0.1206896551724138,20.0,90.0,58.0
Chennu,alpha,8,baseline,0.3739337999559379,12.648646474142739,0.026480655772809388,0.8275862068965516,0.603448275862069,20.0,90.0,58.0
Chennu,alpha,8,mild,0.4181745405622693,10.913845437813865,0.029798832078303732,0.8275862068965516,0.5517241379310345,20.0,90.0,58.0
Chennu,alpha,8,moderate,0.3723183378062671,12.709453286320183,0.025727897971003905,0.925287356321839,0.7931034482758621,20.0,90.0,58.0
Chennu,alpha,8,recovery,0.4199230309769419,10.946893079374382,0.026176178416684816,0.8793103448275862,0.6379310344827587,20.0,90.0,58.0
Chennu,alpha,9,baseline,0.4880515834726911,5.945253839257579,0.021917873335216873,0.8275862068965517,0.5862068965517241,20.0,90.0,58.0
Chennu,alpha,9,mild,0.5485025930738574,4.8523985949755986,0.018806767853399402,0.7586206896551724,0.5172413793103449,20.0,90.0,58.0
Chennu,alpha,9,moderate,0.4585532601727919,8.573813662660394,0.026415491725910543,0.67816091954023,0.43103448275862066,20.0,90.0,58.0
Chennu,alpha,9,recovery,0.51720580079491,5.500964468634018,0.018719217630651777,0.8160919540229884,0.5689655172413793,20.0,90.0,58.0
Chennu,gamma,10,baseline,0.2976694908603258,17.5927823557031,0.0187426151126357,0.8275862068965517,0.5862068965517241,20.0,90.0,58.0
Chennu,gamma,10,mild,0.29927381593397523,17.71055858978448,0.01933605716613415,0.7988505747126438,0.5,20.0,90.0,58.0
Chennu,gamma,10,moderate,0.29088778300032614,17.74317057688778,0.018198831493115342,0.8333333333333334,0.603448275862069,20.0,90.0,58.0
Chennu,gamma,10,recovery,0.30359117335497465,14.365739265204677,0.017863981547020492,0.6551724137931033,0.29310344827586204,20.0,90.0,58.0
Chennu,gamma,13,baseline,0.26683511643075614,17.646193960737993,0.017856243877369456,0.8275862068965517,0.5172413793103449,20.0,90.0,58.0
Chennu,gamma,13,mild,0.28648054115242316,15.31000497495224,0.017780305260004625,0.6666666666666666,0.15517241379310345,20.0,90.0,58.0
Chennu,gamma,13,moderate,0.30654762188903684,16.413724084421375,0.019566472507770348,0.7758620689655171,0.39655172413793105,20.0,90.0,58.0
Chennu,gamma,13,recovery,0.3234564189645212,15.711295610048657,0.019494637414101682,0.6724137931034483,0.2413793103448276,20.0,90.0,58.0
Chennu,gamma,14,baseline,0.26095133663386255,18.624932506086157,0.01644936641526914,0.8275862068965516,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,14,mild,0.24529463738860702,16.98238429748906,0.014535551495790128,0.5344827586206896,0.1724137931034483,20.0,90.0,58.0
Chennu,gamma,14,moderate,0.26418304719959407,16.098697167794903,0.015022493645888275,0.49999999999999994,0.0,20.0,90.0,58.0
Chennu,gamma,14,recovery,0.2660194532404626,14.4141957296875,0.014213780379143769,0.4827586206896552,0.0,20.0,90.0,58.0
Chennu,gamma,18,baseline,0.27634618333951944,15.423138717029069,0.01802640924933638,0.8275862068965517,0.5344827586206896,20.0,90.0,58.0
Chennu,gamma,18,mild,0.274089822992843,14.228834154055365,0.0173888568491783,0.6724137931034482,0.39655172413793105,20.0,90.0,58.0
Chennu,gamma,18,moderate,0.33280249098650355,14.097212613424878,0.021022011471936712,0.9195402298850575,0.7931034482758621,20.0,90.0,58.0
Chennu,gamma,18,recovery,0.3156851070360211,18.58588072998962,0.021604396687911736,0.7298850574712643,0.3275862068965517,20.0,90.0,58.0
Chennu,gamma,2,baseline,0.28052761648711855,17.790138666383932,0.017488249674486398,0.8275862068965517,0.603448275862069,20.0,90.0,58.0
Chennu,gamma,2,mild,0.30882092998058464,14.314439457475123,0.019645436557652603,0.5402298850574713,0.06896551724137931,20.0,90.0,58.0
